set STUDENTS := 1..200;
set ROOMS := 1..100;

param roomRanking := 
   1 1 56
   1 2 2
   1 3 47
   1 4 35
   1 5 54
   1 6 23
   1 7 47
   1 8 37
   1 9 5
   1 10 88
   1 11 63
   1 12 40
   1 13 99
   1 14 75
   1 15 3
   1 16 28
   1 17 14
   1 18 73
   1 19 69
   1 20 49
   1 21 79
   1 22 59
   1 23 79
   1 24 62
   1 25 72
   1 26 23
   1 27 9
   1 28 33
   1 29 83
   1 30 1
   1 31 33
   1 32 65
   1 33 39
   1 34 50
   1 35 41
   1 36 19
   1 37 71
   1 38 45
   1 39 66
   1 40 65
   1 41 98
   1 42 43
   1 43 21
   1 44 84
   1 45 13
   1 46 47
   1 47 33
   1 48 54
   1 49 36
   1 50 34
   1 51 63
   1 52 54
   1 53 40
   1 54 16
   1 55 52
   1 56 10
   1 57 11
   1 58 27
   1 59 68
   1 60 54
   1 61 83
   1 62 26
   1 63 98
   1 64 20
   1 65 72
   1 66 46
   1 67 36
   1 68 43
   1 69 24
   1 70 85
   1 71 1
   1 72 15
   1 73 37
   1 74 94
   1 75 3
   1 76 35
   1 77 18
   1 78 6
   1 79 79
   1 80 26
   1 81 11
   1 82 12
   1 83 75
   1 84 63
   1 85 75
   1 86 66
   1 87 35
   1 88 59
   1 89 76
   1 90 22
   1 91 44
   1 92 97
   1 93 68
   1 94 19
   1 95 15
   1 96 16
   1 97 7
   1 98 2
   1 99 31
   1 100 19
   2 1 49
   2 2 96
   2 3 80
   2 4 68
   2 5 3
   2 6 50
   2 7 26
   2 8 80
   2 9 27
   2 10 36
   2 11 84
   2 12 14
   2 13 72
   2 14 32
   2 15 73
   2 16 46
   2 17 22
   2 18 70
   2 19 4
   2 20 14
   2 21 100
   2 22 81
   2 23 27
   2 24 30
   2 25 47
   2 26 63
   2 27 5
   2 28 93
   2 29 75
   2 30 77
   2 31 7
   2 32 89
   2 33 15
   2 34 49
   2 35 6
   2 36 17
   2 37 6
   2 38 70
   2 39 5
   2 40 35
   2 41 86
   2 42 97
   2 43 44
   2 44 50
   2 45 99
   2 46 89
   2 47 31
   2 48 26
   2 49 67
   2 50 57
   2 51 86
   2 52 43
   2 53 16
   2 54 64
   2 55 81
   2 56 19
   2 57 22
   2 58 100
   2 59 96
   2 60 23
   2 61 20
   2 62 49
   2 63 34
   2 64 52
   2 65 29
   2 66 60
   2 67 13
   2 68 17
   2 69 53
   2 70 56
   2 71 32
   2 72 92
   2 73 56
   2 74 55
   2 75 45
   2 76 77
   2 77 51
   2 78 71
   2 79 66
   2 80 31
   2 81 3
   2 82 84
   2 83 14
   2 84 73
   2 85 82
   2 86 28
   2 87 56
   2 88 20
   2 89 5
   2 90 19
   2 91 5
   2 92 55
   2 93 22
   2 94 17
   2 95 8
   2 96 38
   2 97 52
   2 98 17
   2 99 87
   2 100 89
   3 1 63
   3 2 53
   3 3 41
   3 4 70
   3 5 6
   3 6 23
   3 7 18
   3 8 85
   3 9 26
   3 10 69
   3 11 32
   3 12 60
   3 13 72
   3 14 79
   3 15 48
   3 16 80
   3 17 23
   3 18 30
   3 19 96
   3 20 38
   3 21 71
   3 22 57
   3 23 72
   3 24 37
   3 25 94
   3 26 46
   3 27 82
   3 28 51
   3 29 96
   3 30 32
   3 31 8
   3 32 87
   3 33 95
   3 34 38
   3 35 39
   3 36 2
   3 37 79
   3 38 51
   3 39 90
   3 40 87
   3 41 75
   3 42 69
   3 43 59
   3 44 32
   3 45 78
   3 46 38
   3 47 99
   3 48 5
   3 49 43
   3 50 46
   3 51 26
   3 52 92
   3 53 90
   3 54 88
   3 55 9
   3 56 13
   3 57 72
   3 58 89
   3 59 58
   3 60 62
   3 61 57
   3 62 47
   3 63 38
   3 64 73
   3 65 96
   3 66 76
   3 67 78
   3 68 82
   3 69 60
   3 70 35
   3 71 22
   3 72 1
   3 73 71
   3 74 86
   3 75 30
   3 76 47
   3 77 63
   3 78 7
